title,authors,affiliation,venue,year,latitude,longitude
User Knowledge Modeling.,"Hamdi Tolga Kahraman, Ilhami Colak, Seref Sagiroglu",UCI Machine Learning Repository,UCI Machine Learning Repository,2013,,
Tamilnadu Electricity Board Hourly Readings.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2013,,
"3D Road Network (North Jutland, Denmark).",Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2013,,
Buzz in social media.,"François Kawala, Ahlame Douzal, Éric Gaussier, Eustache Diemert",UCI Machine Learning Repository,UCI Machine Learning Repository,2013,,
Predict keywords activities in a online social media.,"François Kawala, Ahlame Douzal, Éric Gaussier, Eustache Diemert",UCI Machine Learning Repository,UCI Machine Learning Repository,2013,,
NYSK.,"Aurélien Lauf, Leila Khouas, Mohamed Dermouche",UCI Machine Learning Repository,UCI Machine Learning Repository,2013,,
banknote authentication.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2013,,
Thoracic Surgery Data.,"Marek Lubicz, Konrad Pawelczyk, Adam Rzechonek, Jerzy Kolodziej",UCI Machine Learning Repository,UCI Machine Learning Repository,2013,,
Climate Model Simulation Crashes.,"Donald D. Lucas, Richard Klein, John Tannahill, D. Ivanova, Scott Brandon, David Domyancic, Y. Zhang",UCI Machine Learning Repository,UCI Machine Learning Repository,2013,,
YouTube Multiview Video Games Dataset.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2013,,
MicroMass.,"Pierre Mahé, Jean-Baptiste Veyrieras",UCI Machine Learning Repository,UCI Machine Learning Repository,2013,,
QSAR biodegradation.,"Kamel Mansouri, Tine Ringsted, Davide Ballabio, Roberto Todeschini, Viviana Consonni",UCI Machine Learning Repository,UCI Machine Learning Repository,2013,,
Activities of Daily Living (ADLs) Recognition Using Binary Sensors.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2013,,
Physicochemical Properties of Protein Tertiary Structure.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2013,,
"USPTO Algorithm Challenge, run by NASA-Harvard Tournament Lab and TopCoder Problem: Pat.","Christoph Riedl, Richard Zanibbi, Marti A. Hearst, Siyu Zhu 0005, Michael Minetti, Jason Crusan",UCI Machine Learning Repository,UCI Machine Learning Repository,2013,,
EEG Eye State.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2013,,
Daphnet Freezing of Gait.,"Daniel Roggen, Meir Plotnik, Jeffrey M. Hausdorff",UCI Machine Learning Repository,UCI Machine Learning Repository,2013,,
seismic-bumps.,"Marek Sikora, Lukasz Wróbel",UCI Machine Learning Repository,UCI Machine Learning Repository,2013,,
Wearable Computing: Classification of Body Postures and Movements (PUC-Rio).,"Wallace Ugulino, Debora Cardador, Katia Vega, Eduardo Velloso, Ruy Milidiú, Hugo Fuks",UCI Machine Learning Repository,UCI Machine Learning Repository,2013,,
Weight Lifting Exercises monitored with Inertial Measurement Units.,"Eduardo Velloso, Wallace Ugulino",UCI Machine Learning Repository,UCI Machine Learning Repository,2013,,
Gas Sensor Array Drift Dataset at Different Concentrations.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2013,,
Gas sensor arrays in open sampling settings.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2013,,
Foundations of Machine Learning.,"Mehryar Mohri, Afshin Rostamizadeh, Ameet Talwalkar",Adaptive computation and machine learning,Adaptive computation and machine learning,2012,,
Machine Learning in Non-Stationary Environments - Introduction to Covariate Shift Adaptation.,"Masashi Sugiyama, Motoaki Kawanabe",Adaptive computation and machine learning,Adaptive computation and machine learning,2012,,
Machine learning - a probabilistic perspective.,Unknown Author,Adaptive computation and machine learning series,Adaptive computation and machine learning series,2012,,
Reliable Machine Learning Algorithms for Intrusion Detection Systems: Machine Learning for Information Security and Digital Forensics.,Unknown Author,Unknown Venue,Unknown Venue,2012,,
Three Differential Emotion Classification by Machine Learning Algorithms using Physiological Signals - Discriminantion of Emotions by Machine Learning Algorithms.,"Eun-Hye Jang, Byoung-Jun Park, Sang-Hyeob Kim, Jin-Hun Sohn",ICAART,ICAART,2012,,
SMS Spam Collection.,"Tiago Almeida, Jos Hidalgo",UCI Machine Learning Repository,UCI Machine Learning Repository,2012,,
Planning Relax.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2012,,
Skin Segmentation.,"Rajen Bhatt, Abhinav Dhall",UCI Machine Learning Repository,UCI Machine Learning Repository,2012,,
Northix.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2012,,
Nomao.,"Laurent Candillier, Vincent Lemaire 0001",UCI Machine Learning Repository,UCI Machine Learning Repository,2012,,
seeds.,"Malgorzata Charytanowicz, Jerzy Niewczas, Piotr Kulczycki, Piotr A. Kowalski, Szymon Lukasik",UCI Machine Learning Repository,UCI Machine Learning Repository,2012,,
CNAE-9.,"Patrick Marques Ciarelli, Elias Oliveira",UCI Machine Learning Repository,UCI Machine Learning Repository,2012,,
One-hundred plant species leaves data set.,"James S. Cope, Thibaut Beghin, Paolo Remagnino, Sarah Barman",UCI Machine Learning Repository,UCI Machine Learning Repository,2012,,
Legal Case Reports.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2012,,
Individual household electric power consumption.,"Georges Hébrail, Alice Berard",UCI Machine Learning Repository,UCI Machine Learning Repository,2012,,
Restaurant &amp; consumer data.,"Rafael Medelln, Juan Serna",UCI Machine Learning Repository,UCI Machine Learning Repository,2012,,
Bank Marketing.,"Sérgio Moro, Paulo Rita, Paulo Cortez 0001",UCI Machine Learning Repository,UCI Machine Learning Repository,2012,,
ILPD (Indian Liver Patient Dataset).,"Bendi Ramana, N. Venkateswarlu",UCI Machine Learning Repository,UCI Machine Learning Repository,2012,,
PAMAP2 Physical Activity Monitoring.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2012,,
Human Activity Recognition Using Smartphones.,"Jorge Luis Reyes-Ortiz, Davide Anguita, Alessandro Ghio, Luca Oneto, Xavier Parra",UCI Machine Learning Repository,UCI Machine Learning Repository,2012,,
OPPORTUNITY Activity Recognition.,"Daniel Roggen, Alberto Calatroni, Long-Van Nguyen-Dinh, Ricardo Chavarriaga, Hesam Sagha",UCI Machine Learning Repository,UCI Machine Learning Repository,2012,,
QtyT40I10D100K.,"Omid Shakeri, Mir Pedram",UCI Machine Learning Repository,UCI Machine Learning Repository,2012,,
YouTube Comedy Slam Preference Data.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2012,,
Energy efficiency.,"Athanasios Tsanas, Angeliki Xifara",UCI Machine Learning Repository,UCI Machine Learning Repository,2012,,
Gas Sensor Array Drift Dataset.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2012,,
A First Course in Machine Learning.,"Simon Rogers, Mark A. Girolami",Chapman and Hall / CRC machine learning and pattern recognition series,Chapman and Hall / CRC machine learning and pattern recognition series,2011,,
Learning with Support Vector Machines,"Colin Campbell, Yiming Ying",Synthesis Lectures on Artificial Intelligence and Machine Learning,Synthesis Lectures on Artificial Intelligence and Machine Learning,2011,,
Machine learning in computer forensics (and the lessons learned from machine learning in computer security).,"Davide Ariu, Giorgio Giacinto, Fabio Roli",AISec,AISec,2011,14.5352962,121.150336
Machine Teaching - a Machine Learning Approach to TEL.,Unknown Author,IATEL - Interdisciplinary Approaches to Technology-enhanced Learning,IATEL - Interdisciplinary Approaches to Technology-enhanced Learning,2011,,
Selecting Machine Learning Algorithms Using the Ranking Meta-Learning Approach.,"Ricardo Bastos Cavalcante Prudêncio, Marcilio C. P. de Souto, Teresa Bernarda Ludermir",Meta-Learning in Computational Intelligence,Meta-Learning in Computational Intelligence,2011,,
Vertebral Column.,"Guilherme De A. Barreto, Ajalmar R. da Rocha Neto",UCI Machine Learning Repository,UCI Machine Learning Repository,2011,,
Online Handwritten Assamese Characters Dataset.,"Udayan Baruah, Shyamanta M. Hazarika",UCI Machine Learning Repository,UCI Machine Learning Repository,2011,,
YearPredictionMSD.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2011,,
PEMS-SF.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2011,,
DBWorld e-mails.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2011,,
OpinRank Review Dataset.,"Kavita Ganesan, ChengXiang Zhai",UCI Machine Learning Repository,UCI Machine Learning Repository,2011,,
Relative location of CT slices on axial axis.,"Franz Graf 0001, Hans-Peter Kriegel, Matthias Schubert, Sebastian Pölsterl, Alexander Cavallaro",UCI Machine Learning Repository,UCI Machine Learning Repository,2011,,
Amazon Commerce reviews set.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2011,,
Reuter_50_50.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2011,,
Farm Ads.,"Chris Mesterharm, Michael J. Pazzani",UCI Machine Learning Repository,UCI Machine Learning Repository,2011,,
Amazon Access Samples.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2011,,
KEGG Metabolic Relation Network (Directed).,"Muhammad Naeem 0010, Sohail Asghar",UCI Machine Learning Repository,UCI Machine Learning Repository,2011,,
KEGG Metabolic Reaction Network (Undirected).,"Muhammad Naeem 0010, Sohail Asghar",UCI Machine Learning Repository,UCI Machine Learning Repository,2011,,
Communities and Crime Unnormalized.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2011,,
PubChem Bioassay Data.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2011,,
Record Linkage Comparison Patterns.,"Irene Schmidtmann, Gael Hammer, Murat Sariyar, Aslihan Gerhold-Ay",UCI Machine Learning Repository,UCI Machine Learning Repository,2011,,
EMG Physical Action Data Set.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2011,,
Vicon Physical Action Data Set.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2011,,
Understanding Machine Learning Performance with Experiment Databases (Het verwerven van inzichten in leerperformantie met experiment databanken) ; Understanding Machine Learning Performance with Experiment Databases.,Unknown Author,Unknown Venue,Unknown Venue,2010,,
Machine teaching: a machine learning approach to technology enhanced learning.,Unknown Author,Unknown Venue,Unknown Venue,2010,,
KSM Based Machine Learning for Markerless Motion Capture.,"Therdsak Tangkuampien, David Suter",Machine Learning for Human Motion Analysis,Machine Learning for Human Motion Analysis,2010,,
Comparison of Machine Learning for Autonomous Robot Discovery.,Unknown Author,Advances in Machine Learning I,Advances in Machine Learning I,2010,,
Machine Learning Algorithms Inspired by the Work of Ryszard Spencer Michalski.,"Krzysztof J. Cios, Lukasz A. Kurgan",Advances in Machine Learning I,Advances in Machine Learning I,2010,,
Machine Learning Techniques for Prostate Ultrasound Image Diagnosis.,"Aboul Ella Hassanien, Hameed Al-Qaheri, Václav Snásel, James F. Peters",Advances in Machine Learning I,Advances in Machine Learning I,2010,,
Machine Learning in Vector Models of Neural Networks.,"Boris Kryzhanovsky, Vladimir Kryzhanovsky, Leonid B. Litinskii",Advances in Machine Learning II,Advances in Machine Learning II,2010,,
Machine Learning Methods in Automatic Image Annotation.,"Halina Kwasnicka, Mariusz Paradowski",Advances in Machine Learning II,Advances in Machine Learning II,2010,,
Ryszard S. Michalski: The Vision and Evolution of Machine Learning.,"Janusz Wojtusiak, Kenneth A. Kaufman",Advances in Machine Learning I,Advances in Machine Learning I,2010,,
Machine Learning for Human Motion Analysis - Theory and Practice.,"Liang Wang 0001, Li Cheng 0001, Guoying Zhao 0001",Machine Learning for Human Motion Analysis,Machine Learning for Human Motion Analysis,2010,,
Encyclopedia of Machine Learning,"Claude Sammut, Geoffrey I. Webb",Encyclopedia of Machine Learning,Encyclopedia of Machine Learning,2010,,
Advances in Machine Learning I: Dedicated to the Memory of Professor Ryszard S. Michalski,"Jacek Koronacki, Zbigniew W. Ras, Slawomir T. Wierzchon, Janusz Kacprzyk","['Advances in Machine Learning I', 'Studies in Computational Intelligence']","['Advances in Machine Learning I', 'Studies in Computational Intelligence']",2010,,
"Advances in Machine Learning II, Dedicated to the Memory of Professor Ryszard S. Michalski","Jacek Koronacki, Zbigniew W. Ras, Slawomir T. Wierzchon, Janusz Kacprzyk","['Advances in Machine Learning II', 'Studies in Computational Intelligence']","['Advances in Machine Learning II', 'Studies in Computational Intelligence']",2010,,
Connections Between Inductive Inference and Machine Learning.,"John Case, Sanjay Jain 0001",Encyclopedia of Machine Learning,Encyclopedia of Machine Learning,2010,,
Machine Learning for IT Security.,Unknown Author,Encyclopedia of Machine Learning,Encyclopedia of Machine Learning,2010,,
Machine Learning and Game Playing.,Unknown Author,Encyclopedia of Machine Learning,Encyclopedia of Machine Learning,2010,,
Medicine: Applications of Machine Learning.,Unknown Author,Encyclopedia of Machine Learning,Encyclopedia of Machine Learning,2010,,
Phase Transitions in Machine Learning.,"Lorenza Saitta, Michèle Sebag",Encyclopedia of Machine Learning,Encyclopedia of Machine Learning,2010,,
Genetics-Based Machine Learning.,,Encyclopedia of Machine Learning,Encyclopedia of Machine Learning,2010,,
Demospongiae.,"Eva Armengol, Enric Plaza, Marta Domingo, Iosune Uriz",UCI Machine Learning Repository,UCI Machine Learning Repository,2010,,
Spoken Arabic Digit.,"Mouldi Bedda, Nacereddine Hammami",UCI Machine Learning Repository,UCI Machine Learning Repository,2010,,
Steel Plates Faults.,"Paolo Massimo Buscema, S. Terzi, William J. Tastle",UCI Machine Learning Repository,UCI Machine Learning Repository,2010,,
Cardiotocography.,"D. Campos, João Bernardes",UCI Machine Learning Repository,UCI Machine Learning Repository,2010,,
Wall-Following Robot Navigation Data.,"Ananda Freire, Marcus V. D. Veloso, Guilherme De A. Barreto",UCI Machine Learning Repository,UCI Machine Learning Repository,2010,,
Opinosis Opinion ⁄ Review.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2010,,
AutoUniv.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2010,,
p53 Mutants.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2010,,
MiniBooNE particle identification.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2010,,
Breast Tissue.,"JP S, J. Jossinet",UCI Machine Learning Repository,UCI Machine Learning Repository,2010,,
Localization Data for Person Activity.,"Vedrana Vidulin, Mitja Lustrek, Bostjan Kaluza, Rok Piltaver, Jana Krivec",UCI Machine Learning Repository,UCI Machine Learning Repository,2010,,
Machine Learning - An Algorithmic Perspective.,Unknown Author,Chapman and Hall / CRC machine learning and pattern recognition series,Chapman and Hall / CRC machine learning and pattern recognition series,2009,,
"Advances in Machine Learning, First Asian Conference on Machine Learning, ACML 2009, Nanjing, China, November 2-4, 2009. Proceedings","Zhi-Hua Zhou, Takashi Washio","['ACML', 'Lecture Notes in Computer Science']","['ACML', 'Lecture Notes in Computer Science']",2009,,
"Machine learning approaches to statistical dependences and causality, 27.09. - 02.10.2009","Dominik Janzing, Steffen L. Lauritzen, Bernhard Schölkopf","['Machine learning approaches to statistical dependences and causality', 'Dagstuhl Seminar Proceedings']","['Machine learning approaches to statistical dependences and causality', 'Dagstuhl Seminar Proceedings']",2009,,
Wine Quality.,"Paulo Cortez 0001, Antonio Cerdeira, Fernando Almeida, Telmo Matos, José Reis",UCI Machine Learning Repository,UCI Machine Learning Repository,2009,,
Acute Inflammations.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2009,,
Libras Movement.,"Daniel B. Dias, Sarajane Marques Peres, Helton Bscaro",UCI Machine Learning Repository,UCI Machine Learning Repository,2009,,
URL Reputation.,"Justin Ma, Lawrence K. Saul, Stefan Savage, Geoffrey M. Voelker",UCI Machine Learning Repository,UCI Machine Learning Repository,2009,,
UJI Pen Characters (Version 2).,"Federico Prat, María José Castro 0001, David Llorens, Andrés Marzal, Juan Miguel Vilar",UCI Machine Learning Repository,UCI Machine Learning Repository,2009,,
Communities and Crime.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2009,,
Parkinsons Telemonitoring.,"Athanasios Tsanas, Max A. Little",UCI Machine Learning Repository,UCI Machine Learning Repository,2009,,
Concrete Slump Test.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2009,,
09401 Abstracts Collection - Machine learning approaches to statistical dependences and causality.,"Dominik Janzing, Steffen L. Lauritzen, Bernhard Schölkopf",Machine learning approaches to statistical dependences and causality,Machine learning approaches to statistical dependences and causality,2009,,
"Ethem Alpaydin. Introduction to Machine Learning (Adaptive Computation and Machine Learning Series). The MIT Press, 2004, ISBN 0 262 01211 1.",Unknown Author,Nat. Lang. Eng.,Nat. Lang. Eng.,2008,,
Enhancing Blended Learning By Machine Learning Techniques.,"Dumitru Dan Burdescu, Marian Cristian Mihaescu, Bogdan Logofatu",e-Learning,e-Learning,2008,45.72133795,4.916495769565751
Machine Learning for Semi-structured Multimedia Documents: Application to Pornographic Filtering and Thematic Categorization.,"Ludovic Denoyer, Patrick Gallinari",Machine Learning Techniques for Multimedia,Machine Learning Techniques for Multimedia,2008,,
Machine Learning Techniques for Face Analysis.,"Roberto Valenti, Nicu Sebe, Theo Gevers, Ira Cohen",Machine Learning Techniques for Multimedia,Machine Learning Techniques for Multimedia,2008,,
Machine Learning for Digital Document Processing: from Layout Analysis to Metadata Extraction.,"Floriana Esposito, Stefano Ferilli, Teresa Maria Altomare Basile, Nicola Di Mauro",Machine Learning in Document Analysis and Recognition,Machine Learning in Document Analysis and Recognition,2008,,
Machine Learning for Reading Order Detection in Document Image Understanding.,"Donato Malerba, Michelangelo Ceci, Margherita Berardi",Machine Learning in Document Analysis and Recognition,Machine Learning in Document Analysis and Recognition,2008,,
Machine Learning for Signature Verification.,"Sargur N. Srihari, Harish Srinivasan, Siyuan Chen, Matthew J. Beal",Machine Learning in Document Analysis and Recognition,Machine Learning in Document Analysis and Recognition,2008,,
Machine Learning Techniques for Multimedia - Case Studies on Organization and Retrieval,"Matthieu Cord, Pádraig Cunningham","['Machine Learning Techniques for Multimedia', 'Cognitive Technologies']","['Machine Learning Techniques for Multimedia', 'Cognitive Technologies']",2008,,
Forest Fires.,"Paulo Cortez, Anbal Morais",UCI Machine Learning Repository,UCI Machine Learning Repository,2008,,
Reuters Transcribed Subset.,"Shantanu Godbole, Shourya Roy",UCI Machine Learning Repository,UCI Machine Learning Repository,2008,,
Hill-Valley.,"Lee K. Graham, Franz Oppacher",UCI Machine Learning Repository,UCI Machine Learning Repository,2008,,
Madelon.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2008,,
Arcene.,"Isabelle Guyon, Steve R. Gunn, Asa Ben-Hur, Gideon Dror",UCI Machine Learning Repository,UCI Machine Learning Repository,2008,,
Dorothea.,"Isabelle Guyon, Steve R. Gunn, Asa Ben-Hur, Gideon Dror",UCI Machine Learning Repository,UCI Machine Learning Repository,2008,,
Gisette.,"Isabelle Guyon, Steve R. Gunn, Asa Ben-Hur, Gideon Dror",UCI Machine Learning Repository,UCI Machine Learning Repository,2008,,
Dexter.,"Isabelle Guyon, Steve R. Gunn, Asa Ben-Hur, Gideon Dror",UCI Machine Learning Repository,UCI Machine Learning Repository,2008,,
Plants.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2008,,
Abscisic Acid Signaling Network.,"Jerry Jenkins, Abhishek Soni",UCI Machine Learning Repository,UCI Machine Learning Repository,2008,,
Parkinsons.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2008,,
SECOM.,"Michael McCann, Adrian Johnston",UCI Machine Learning Repository,UCI Machine Learning Repository,2008,,
Bag of Words.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2008,,
Character Trajectories.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2008,,
Blood Transfusion Service Center.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2008,,
Ozone Level Detection.,"Kun Zhang 0012, Wei Fan 0001, Xiaojing Yuan",UCI Machine Learning Repository,UCI Machine Learning Repository,2008,,
Learning classifier systems from first principles : a probabilistic reformulation of learning classifier systems from the perspective of machine learning.,Unknown Author,Unknown Venue,Unknown Venue,2007,,
"Machine Learning: ECML 2007, 18th European Conference on Machine Learning, Warsaw, Poland, September 17-21, 2007, Proceedings","Joost N. Kok, Jacek Koronacki, Ramón López de Mántaras, Stan Matwin, Dunja Mladenic, Andrzej Skowron","['ECML', 'Lecture Notes in Computer Science']","['ECML', 'Lecture Notes in Computer Science']",2007,,
MAGIC Gamma Telescope.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2007,,
Mammographic Mass.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2007,,
UJI Pen Characters.,"David Llorens, Federico Prat, Andrés Marzal, Juan Miguel Vilar",UCI Machine Learning Repository,UCI Machine Learning Repository,2007,,
Concrete Compressive Strength.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2007,,
Gaussian processes for machine learning.,"Carl Edward Rasmussen, Christopher K. I. Williams",Adaptive computation and machine learning,Adaptive computation and machine learning,2006,,
Reinforcement Learning: Machine Learning and Natural Learning.,"Shin Ishii, Wako Yoshida",New Gener. Comput.,New Gener. Comput.,2006,,
Learning to Understand Image Content: Machine Learning Versus Machine Teaching Alternative.,Unknown Author,ITRE,ITRE,2006,46.1056705,7.0019642
"Machine Learning: ECML 2006, 17th European Conference on Machine Learning, Berlin, Germany, September 18-22, 2006, Proceedings","Johannes Fürnkranz, Tobias Scheffer, Myra Spiliopoulou","['ECML', 'Lecture Notes in Computer Science']","['ECML', 'Lecture Notes in Computer Science']",2006,,
"Machine Learning Challenges, Evaluating Predictive Uncertainty, Visual Object Classification and Recognizing Textual Entailment, First PASCAL Machine Learning Challenges Workshop, MLCW 2005, Southampton, UK, April 11-13, 2005, Revised Selected Papers","Joaquin Quiñonero Candela, Ido Dagan, Bernardo Magnini, Florence d&apos;Alché-Buc","['MLCW', 'Lecture Notes in Computer Science']","['MLCW', 'Lecture Notes in Computer Science']",2006,,
Poker Hand.,"Robert Cattral, Franz Oppacher",UCI Machine Learning Repository,UCI Machine Learning Repository,2006,,
Dodgers Loop Sensor.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2006,,
CalIt2 Building People Counts.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2006,,
Continuous Reinforcement Learning Algorithm for Skills Learning in an Autonomous Mobile Robot.,"María Jesús López Boada, Ramón Barber, Verónica Egido, Miguel Angel Salichs",Machine Learning and Robot Perception,Machine Learning and Robot Perception,2005,,
"Deterministic and Statistical Methods in Machine Learning, First International Workshop, Sheffield, UK, September 7-10, 2004, Revised Lectures","Joab R. Winkler, Mahesan Niranjan, Neil D. Lawrence","['Deterministic and Statistical Methods in Machine Learning', 'Lecture Notes in Computer Science']","['Deterministic and Statistical Methods in Machine Learning', 'Lecture Notes in Computer Science']",2005,,
"Machine Learning: ECML 2005, 16th European Conference on Machine Learning, Porto, Portugal, October 3-7, 2005, Proceedings","João Gama 0001, Rui Camacho, Pavel Brazdil, Alípio Jorge, Luís Torgo","['ECML', 'Lecture Notes in Computer Science']","['ECML', 'Lecture Notes in Computer Science']",2005,,
Introduction to machine learning.,Unknown Author,Adaptive computation and machine learning,Adaptive computation and machine learning,2004,,
Appropriate Kernel Functions for Support Vector Machine Learning with Sequences of Symbolic Data.,"Bram Vanschoenwinkel, Bernard Manderick",Deterministic and Statistical Methods in Machine Learning,Deterministic and Statistical Methods in Machine Learning,2004,,
"Advanced Lectures on Machine Learning, ML Summer Schools 2003, Canberra, Australia, February 2-14, 2003, Tübingen, Germany, August 4-16, 2003, Revised Lectures","Olivier Bousquet, Ulrike von Luxburg, Gunnar Rätsch","['Advanced Lectures on Machine Learning', 'Lecture Notes in Computer Science']","['Advanced Lectures on Machine Learning', 'Lecture Notes in Computer Science']",2004,,
"Machine Learning: ECML 2004, 15th European Conference on Machine Learning, Pisa, Italy, September 20-24, 2004, Proceedings","Jean-François Boulicaut, Floriana Esposito, Fosca Giannotti, Dino Pedreschi","['ECML', 'Lecture Notes in Computer Science']","['ECML', 'Lecture Notes in Computer Science']",2004,,
Some Notes on Applied Mathematics for Machine Learning.,Unknown Author,Advanced Lectures on Machine Learning,Advanced Lectures on Machine Learning,2003,,
Gaussian Processes in Machine Learning.,Unknown Author,Advanced Lectures on Machine Learning,Advanced Lectures on Machine Learning,2003,,
Bayesian Inference: An Introduction to Principles and Practice in Machine Learning.,Unknown Author,Advanced Lectures on Machine Learning,Advanced Lectures on Machine Learning,2003,,
"Machine Learning: ECML 2003, 14th European Conference on Machine Learning, Cavtat-Dubrovnik, Croatia, September 22-26, 2003, Proceedings","Nada Lavrac, Dragan Gamberger, Ljupco Todorovski, Hendrik Blockeel","['ECML', 'Lecture Notes in Computer Science']","['ECML', 'Lecture Notes in Computer Science']",2003,,
NSF Research Award Abstracts 1990-2003.,"Michael J. Pazzani, Amnon Meyers",UCI Machine Learning Repository,UCI Machine Learning Repository,2003,,
"Learning with Kernels: support vector machines, regularization, optimization, and beyond.","Bernhard Schölkopf, Alexander Johannes Smola",Adaptive computation and machine learning series,Adaptive computation and machine learning series,2002,,
"Machine learning in the capital market: rule extraction from cross-industry and computer software &amp; services industry initial public offerings in the US Stock Market using support vector machines, artificial neural networks, Bayesian classificiation, decision tree and rule learning techniques",Unknown Author,Unknown Venue,Unknown Venue,2002,,
"Machine Learning: ECML 2002, 13th European Conference on Machine Learning, Helsinki, Finland, August 19-23, 2002, Proceedings","Tapio Elomaa, Heikki Mannila, Hannu Toivonen","['ECML', 'Lecture Notes in Computer Science']","['ECML', 'Lecture Notes in Computer Science']",2002,,
Australian Sign Language signs (High Quality).,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2002,,
Pre- and Post-processing in Machine Learning and Data Mining.,Unknown Author,Machine Learning and Its Applications,Machine Learning and Its Applications,2001,,
Machine Learning in Human Language Technology.,"Nikos Fakotakis, Kyriakos N. Sgarbas",Machine Learning and Its Applications,Machine Learning and Its Applications,2001,,
Machine Learning Applications to Power Systems.,Unknown Author,Machine Learning and Its Applications,Machine Learning and Its Applications,2001,,
Machine Learning for Intelligent Information Access.,"Grigoris I. Karakoulas, Giovanni Semeraro",Machine Learning and Its Applications,Machine Learning and Its Applications,2001,,
Comparing Machine Learning and Knowledge Discovery in DataBases: An Application to Knowledge Discovery in Texts.,Unknown Author,Machine Learning and Its Applications,Machine Learning and Its Applications,2001,,
Machine Learning in Medical Applications.,"George D. Magoulas, Andriana Prentza",Machine Learning and Its Applications,Machine Learning and Its Applications,2001,,
Machine Learning and Intelligent Agents.,"Themis Panayiotopoulos, Nick Z. Zacharis",Machine Learning and Its Applications,Machine Learning and Its Applications,2001,,
Machine Learning in User Modeling.,Unknown Author,Machine Learning and Its Applications,Machine Learning and Its Applications,2001,,
Integrated Architectures for Machine Learning.,Unknown Author,Machine Learning and Its Applications,Machine Learning and Its Applications,2001,,
Genetic Algorithms in Machine Learning.,Unknown Author,Machine Learning and Its Applications,Machine Learning and Its Applications,2001,,
Model Class Selection and Construction: Beyond the Procrustean Approach to Machine Learning Applications.,Unknown Author,Machine Learning and Its Applications,Machine Learning and Its Applications,2001,,
Function Decomposition in Machine Learning.,"Blaz Zupan, Ivan Bratko, Marko Bohanec, Janez Demsar",Machine Learning and Its Applications,Machine Learning and Its Applications,2001,,
"Machine Learning and Its Applications, Advanced Lectures","Georgios Paliouras, Vangelis Karkaletsis, Constantine D. Spyropoulos","['Machine Learning and Its Applications', 'Lecture Notes in Computer Science']","['Machine Learning and Its Applications', 'Lecture Notes in Computer Science']",2001,,
